元年（公元前）,师訇簋,逆钟,元年师(方[𠂉史])簋,师虎簋,舀鼎（曶鼎）,伯吕盨,师([甘水]页)簋,裘卫盉,师遽簋盖,颂鼎/颂簋/颂壶/颂壶盖,达盨盖,(疒兴)盨,师酉盘,兮甲盘,五年师(方[𠂉史])簋,九年卫鼎,太师虘簋,走簋,大簋盖,十五年大鼎,趞曹鼎,伯克壶,士山盘,此鼎/此簋,(走马)鼎,走马休盘,庚嬴鼎,典簋,(彔见)簋,小盂鼎,伊簋,廿七年卫簋,(虎斤)簋,㝨鼎/㝨盘,吴盉,晋侯稣钟1,晋侯稣钟2,伯（窥）父盨,晋侯稣钟3,鲜簋,四十二年佐鼎,四十三年佐鼎
934,,错月:0/0,建正:0,建正:0,建正:0,建正:0,,建正:0,,,建正:0,错月:0/0,错月:0/0,建正:+1,,,建正:0,,建正:0,,,建正:0,建正:0,错月:0/0,建正:0,,建正:0,建正:0,建正:0,建正:0,,,,错月:0/0,,错月:0/0,错月:0/0,,,错月:0/0,建正:0,建正:0
933,,错月:0/0,建正:0,失闰:0/*,,建正:0,建正:0,建正:0,,,建正:0,错月:0/0,,,错月:0/0,,建正:0,建正:0,,建正:0,,,错月:0/0,,,建正:0,,错月:0/0,,错月:0/0,,,,错月:0/0,,,,,,错月:0/0,建正:0,
932,建正:0,,错月:0/0,,,错月:0/0,错月:0/0,建正:0,建正:0,,建正:0,,,,错月:0/0,,错月:0/0,错月:0/0,,错月:0/0,错月:0/0,,失闰:0/*,,,错月:0/0,,,,,错月:0/0,,错月:0/0,错月:0/0,建正:0,,,建正:-1,,,错月:0/0,
931,建正:0,,,,,,错月:0/0,,错月:0/0,,,,,,错月:0/0,建正:+1,,建正:0,,错月:0/0,错月:0/0,建正:0,,,,失闰:0/*,错月:0/0,,,,错月:0/0,建正:0,建正:0,,错月:0/0,超闰:*/0,超闰:*/0,,,,,
930,,错月:0/0,,建正:0,建正:0,,,,失闰:0/*,超闰:*/-1,,,错月:0/0,,,,,,建正:0,,失闰:0/*,错月:0/0,,错月:0/0,错月:0/0,,错月:0/0,错月:0/0,错月:0/0,建正:0,建正:0,错月:0/0,建正:0,,错月:0/0,错月:0/0,错月:0/0,,,,,错月:0/0
929,,建正:0,错月:0/0,错月:0/0,错月:0/0,超闰:*/0,,建正:0,,,建正:0,建正:0,建正:0,失闰:+1/*,,,超闰:*/0,,错月:0/0,,,错月:0/0,错月:0/0,建正:0,错月:0/0,,失闰:0/*,错月:0/0,错月:0/0,建正:0,,,,建正:0,,错月:0/0,错月:0/0,,错月:0/+1,建正:0,错月:0/0,错月:0/0
928,,建正:0,错月:0/0,失闰:0/*,建正:0,错月:0/0,,错月:0/0,,,错月:0/0,建正:0,建正:0,,错月:0/0,,错月:0/0,错月:0/0,错月:0/0,错月:0/0,,,建正:0,,超闰:*/0,错月:0/0,,错月:0/0,建正:0,建正:0,,,,建正:0,,,,,,建正:0,错月:0/0,
927,建正:0,,错月:0/0,,,错月:0/0,错月:0/0,错月:0/0,错月:0/0,,错月:0/0,建正:0,,,建正:0,,错月:0/0,错月:0/0,,建正:0,建正:0,,建正:0,,,错月:0/0,,,,,建正:0,,建正:0,建正:0,错月:0/0,,,超闰:*/-1,,建正:0,错月:0/0,
926,错月:0/0,,,,,,建正:0,,错月:0/0,,,,,,建正:0,失闰:+1/*,,超闰:*/0,,建正:0,建正:0,,,,,建正:0,错月:0/0,,,,建正:0,错月:0/0,错月:0/0,,错月:0/0,,,,,,,
925,,建正:0,,错月:0/0,错月:0/0,,失闰:0/*,,建正:0,,,,建正:0,,,,,,错月:0/0,,,建正:0,,建正:0,建正:0,,建正:0,建正:0,建正:0,错月:0/0,错月:0/0,建正:0,错月:0/0,,建正:0,建正:0,建正:0,,,,,建正:0
924,,建正:0,错月:0/0,错月:0/0,错月:0/0,,,超闰:*/0,,,错月:0/0,错月:0/0,错月:0/0,建正:0,,,,,建正:0,,,建正:0,建正:0,建正:0,建正:0,,建正:0,建正:0,建正:0,错月:0/0,,建正:0,,,,建正:0,建正:0,,建正:0,错月:0/0,建正:0,建正:0
923,,错月:0/0,建正:0,建正:0,超闰:*/0,建正:0,,建正:0,,,建正:0,错月:0/0,错月:0/0,,建正:0,,建正:0,建正:0,建正:0,建正:0,,,建正:0,失闰:0/*,建正:0,建正:0,,建正:0,建正:0,建正:0,,,,错月:0/0,,失闰:0/*,,,,错月:0/0,建正:0,建正:0
922,错月:0/0,,建正:0,,,建正:0,建正:0,建正:0,建正:0,,建正:0,错月:0/0,,,错月:0/0,,建正:0,建正:0,,建正:0,建正:0,,错月:0/0,,,建正:0,,,,,错月:0/0,,错月:0/0,错月:0/0,,,,,,失闰:0/*,建正:0,
921,建正:0,,,,,,错月:0/0,,建正:0,,,,,,错月:0/0,建正:-1,,错月:0/0,,错月:0/0,错月:0/0,,,,,错月:0/0,建正:0,,,,错月:0/0,建正:0,建正:0,,建正:0,,,,,,,
920,超闰:*/0,超闰:*/0,,建正:0,建正:0,,建正:0,,错月:0/0,,,,错月:0/0,,,,,,建正:0,,错月:0/0,建正:0,,错月:0/0,错月:0/0,,错月:0/0,,建正:0,建正:0,建正:0,错月:0/0,建正:0,,错月:0/0,错月:0/0,错月:0/0,,,,,建正:0
919,,错月:0/0,建正:0,建正:0,建正:0,,,建正:0,,,建正:0,错月:0/0,错月:0/0,超闰:*/0,,,,,建正:0,,,错月:0/0,错月:0/0,错月:0/0,错月:0/0,,错月:0/0,错月:0/0,错月:0/0,建正:0,,失闰:0/*,,,,错月:0/0,错月:0/0,,,错月:0/0,,错月:0/0
918,,建正:0,错月:0/0,错月:0/0,错月:0/0,错月:0/0,,建正:0,,,建正:0,建正:0,建正:0,,错月:0/0,,错月:0/0,错月:0/0,错月:0/0,超闰:*/0,,,错月:0/0,建正:0,错月:0/0,错月:0/0,,错月:0/0,错月:0/0,错月:0/0,,,,建正:0,,错月:0/0,失闰:0/*,,,建正:0,错月:0/0,错月:0/0
917,建正:0,,错月:0/0,,,错月:0/0,错月:0/0,错月:0/0,错月:0/0,,错月:0/0,建正:0,,,建正:0,,错月:0/0,错月:0/0,,错月:0/0,错月:0/0,,建正:0,,,错月:0/0,,失闰:0/*,,,,,建正:0,建正:0,,,,,,建正:0,错月:0/0,
916,建正:0,,,,,错月:0/0,错月:0/0,,错月:0/0,,,,,,建正:0,建正:-1,建正:0,错月:0/0,,建正:0,建正:0,,,,,错月:0/0,错月:0/0,,,,建正:0,错月:0/0,建正:0,失闰:0/*,错月:0/0,,,失闰:+1/*,,,,
915,失闰:0/*,,,超闰:*/0,错月:0/0,,超闰:*/0,,建正:0,,,,建正:0,,,,,,超闰:*/0,,建正:0,错月:0/0,,建正:0,超闰:*/0,,建正:0,,错月:0/0,错月:0/0,建正:0,错月:0/0,错月:0/0,,错月:0/0,建正:0,建正:0,,,,,错月:0/0
914,,建正:0,超闰:*/0,错月:0/0,错月:0/0,,,,,建正:+1,超闰:*/0,建正:0,建正:0,,,,,,错月:0/0,,,建正:0,,建正:0,建正:0,,建正:0,建正:0,建正:0,错月:0/0,,建正:0,,,,建正:0,建正:0,,,建正:0,,建正:0
913,,错月:0/0,建正:0,建正:0,建正:0,建正:0,,错月:0/0,,,错月:0/0,错月:0/0,错月:0/0,,,,建正:0,建正:0,建正:0,,,建正:0,建正:0,建正:0,建正:0,建正:0,,建正:0,建正:0,错月:0/0,,,,建正:0,,建正:0,建正:0,,,错月:0/0,建正:0,建正:0
912,错月:0/0,,建正:0,,,建正:0,建正:0,建正:0,,,建正:0,错月:0/0,,,建正:0,,建正:0,建正:0,,建正:0,建正:0,,建正:0,,,建正:0,,超闰:*/0,,,,,超闰:*/0,错月:0/0,,,,,,错月:0/0,建正:0,
911,错月:0/0,,,,,建正:0,建正:0,,建正:0,,,,,,错月:0/0,,超闰:*/0,建正:0,,建正:0,建正:0,,,,,建正:0,,,,,错月:0/0,建正:0,错月:0/0,失闰:0/*,建正:0,,,,,,,
910,建正:0,,,,建正:0,,错月:0/0,,建正:0,,,,超闰:*/0,,,,,,,,错月:0/0,建正:0,,错月:0/0,,,建正:0,,,,错月:0/0,建正:0,建正:0,,建正:0,建正:0,建正:0,,,,,建正:0
909,,错月:0/0,,建正:0,建正:0,,,,,错月:0/+1,,,错月:0/0,,,,,,建正:0,,,错月:0/0,,错月:0/0,错月:0/0,,错月:0/0,建正:0,建正:0,建正:0,,错月:0/0,,,错月:0/0,错月:0/0,错月:0/0,,,超闰:*/0,,建正:0
908,,错月:0/0,建正:0,建正:0,建正:0,建正:0,,建正:0,,,建正:0,错月:0/0,错月:0/0,,,,建正:0,,建正:0,,,错月:0/0,错月:0/0,错月:0/0,错月:0/0,,,错月:0/0,错月:0/0,建正:0,,,,错月:0/0,,错月:0/0,错月:0/0,,,建正:0,建正:0,错月:0/0
907,建正:0,建正:0,错月:0/0,,,错月:0/0,错月:0/0,建正:0,,,建正:0,建正:0,,,错月:0/0,,错月:0/0,错月:0/0,,错月:0/0,超闰:*/0,,错月:0/0,,,错月:0/0,,错月:0/0,,,,,,建正:0,,,,,,建正:0,错月:0/0,
906,建正:0,,失闰:0/*,,,错月:0/0,错月:0/0,失闰:0/*,错月:0/0,,,,,,建正:0,,错月:0/0,错月:0/0,,错月:0/0,错月:0/0,,,,,错月:0/0,,,,,建正:0,错月:0/0,建正:0,超闰:*/0,错月:0/0,,,错月:0/+1,,,失闰:0/*,
905,建正:0,,,,,,错月:0/0,,错月:0/0,,,,,,,,,失闰:0/*,,建正:0,建正:0,错月:0/0,,,,建正:0,错月:0/0,,超闰:*/0,,建正:0,错月:0/0,建正:0,,错月:0/0,超闰:*/0,错月:0/0,,,,,超闰:*/0
904,,建正:0,,错月:0/0,错月:0/0,,,,,建正:-1,,,建正:0,,,,,,错月:0/0,,,错月:0/0,,建正:0,错月:0/0,,建正:0,错月:0/0,错月:0/0,错月:0/0,超闰:*/0,错月:0/0,,,建正:0,建正:0,建正:0,,,,,错月:0/0
903,,建正:0,错月:0/0,错月:0/0,错月:0/0,超闰:*/0,,错月:0/0,,,错月:0/0,建正:0,建正:0,,,,错月:0/0,,错月:0/0,,,建正:0,建正:0,建正:0,建正:0,,失闰:0/*,建正:0,建正:0,错月:0/0,,,,建正:0,,建正:0,建正:0,,失闰:+1/*,建正:0,错月:0/0,建正:0
902,超闰:*/0,失闰:0/*,建正:0,超闰:*/0,失闰:0/*,建正:0,建正:0,错月:0/0,,,错月:0/0,错月:0/0,失闰:0/*,,建正:0,,建正:0,建正:0,建正:0,建正:0,,,建正:0,,错月:0/0,建正:0,,建正:0,,建正:0,,,,错月:0/0,,,,,,错月:0/0,建正:0,
901,错月:0/0,,建正:0,,,建正:0,建正:0,建正:0,建正:0,,建正:0,错月:0/0,,,建正:0,,建正:0,建正:0,,建正:0,建正:0,,建正:0,,,建正:0,,,,,错月:0/0,,错月:0/0,错月:0/0,建正:0,,,建正:0,,建正:0,建正:0,
900,错月:0/0,,,,,,建正:0,,建正:0,,,,,,错月:0/0,失闰:+1/*,,超闰:*/0,,建正:0,建正:0,建正:0,,,,超闰:*/0,建正:0,,,,错月:0/0,建正:0,错月:0/0,,建正:0,,建正:0,,,,,
899,,错月:0/0,,建正:0,建正:0,,,,建正:0,,,,错月:0/0,,,,,,建正:0,,,建正:0,,错月:0/0,建正:0,,建正:0,建正:0,建正:0,建正:0,失闰:0/*,建正:0,建正:0,,建正:0,建正:0,建正:0,,,,,建正:0
898,,错月:0/0,建正:0,建正:0,建正:0,,,建正:0,,,建正:0,错月:0/0,错月:0/0,错月:0/+1,,,建正:0,,建正:0,,,错月:0/0,错月:0/0,错月:0/0,错月:0/0,,失闰:0/*,错月:0/0,错月:0/0,建正:0,,,,错月:0/0,,错月:0/0,错月:0/0,,建正:+1,错月:0/0,建正:0,错月:0/0
897,,错月:0/0,建正:0,超闰:*/0,,建正:0,,建正:0,,,建正:0,建正:0,,,错月:0/0,,建正:0,建正:0,建正:0,错月:0/0,,,错月:0/0,,失闰:0/*,建正:0,,错月:0/0,建正:0,建正:0,,,,错月:0/0,,,,,,建正:0,错月:0/0,失闰:0/*
896,建正:0,,错月:0/0,,,错月:0/0,错月:0/0,错月:0/0,错月:0/0,,错月:0/0,建正:0,,,错月:0/0,,错月:0/0,错月:0/0,,错月:0/0,错月:0/0,,错月:0/0,,,错月:0/0,,,,,错月:0/0,,建正:0,建正:0,,,,超闰:*/-1,,失闰:0/*,错月:0/0,
895,建正:0,,,,,,错月:0/0,,错月:0/0,,,,,,建正:0,建正:0,,错月:0/0,,错月:0/0,错月:0/0,超闰:*/0,,,,错月:0/0,错月:0/0,,,,建正:0,错月:0/0,建正:0,,错月:0/0,,,,,,,
894,建正:0,建正:0,,错月:0/0,错月:0/0,,,,错月:0/0,,,,建正:0,,,,,,错月:0/0,,建正:0,错月:0/0,,错月:0/0,错月:0/0,,错月:0/0,超闰:*/0,错月:0/0,建正:0,建正:0,错月:0/0,建正:0,,错月:0/0,错月:0/0,错月:0/0,,,,,错月:0/0
893,,建正:0,错月:0/0,错月:0/0,错月:0/0,,,错月:0/0,,,错月:0/0,建正:0,建正:0,错月:-1/0,,,,,错月:0/0,,,错月:0/0,错月:0/0,建正:0,建正:0,,建正:0,错月:0/0,错月:0/0,错月:0/0,,失闰:0/*,,建正:0,,建正:0,建正:0,,错月:-1/0,建正:0,错月:0/0,错月:0/0
892,,建正:0,错月:0/0,错月:0/0,失闰:0/*,错月:0/0,,错月:0/0,,,错月:0/0,建正:0,建正:0,,建正:0,,错月:0/0,错月:0/0,错月:0/0,错月:0/0,,,建正:0,建正:0,建正:0,错月:0/0,,建正:0,超闰:*/0,失闰:0/*,,,,建正:0,,,失闰:0/*,,,建正:0,错月:0/0,建正:0
891,错月:0/0,,建正:0,,,建正:0,建正:0,错月:0/0,错月:0/0,,错月:0/0,错月:0/0,,,建正:0,,建正:0,建正:0,,建正:0,建正:0,,建正:0,,,建正:0,,,,,建正:0,,错月:0/0,错月:0/0,超闰:*/0,,,,,失闰:0/*,建正:0,
890,错月:0/0,,,,,,建正:0,,建正:0,,,,,,建正:0,错月:-1/0,失闰:0/*,建正:0,,建正:0,建正:0,,,,,建正:0,建正:0,,,,错月:0/0,建正:0,错月:0/0,,建正:0,,,,,,,
889,失闰:0/*,建正:0,,超闰:*/0,错月:0/0,,错月:0/0,,建正:0,,,,建正:0,,,,,,错月:0/0,,失闰:0/*,建正:0,,建正:0,建正:0,,建正:0,,建正:0,错月:0/0,错月:0/0,建正:0,错月:0/0,,建正:0,建正:0,建正:0,,,,,建正:0
888,,错月:0/0,建正:0,建正:0,建正:0,,,,,,超闰:*/0,错月:0/0,错月:0/0,建正:-1,,,,,建正:0,,,建正:0,,错月:0/0,建正:0,,建正:0,建正:0,建正:0,建正:0,,建正:0,,,,错月:0/0,错月:0/0,,建正:-1,错月:0/0,建正:0,建正:0
887,,错月:0/0,建正:0,建正:0,建正:0,建正:0,,建正:0,,,建正:0,错月:0/0,错月:0/0,,超闰:*/0,,建正:0,建正:0,建正:0,建正:0,,失闰:0/*,错月:0/0,错月:0/0,错月:0/0,建正:0,,错月:0/0,错月:0/0,建正:0,,,,错月:0/0,,错月:0/0,建正:0,,,错月:0/0,建正:0,错月:0/0
886,错月:0/0,,建正:0,,,建正:0,建正:0,建正:0,建正:0,,建正:0,建正:0,,,错月:0/0,,错月:0/0,错月:0/0,,错月:0/0,错月:0/0,,错月:0/0,,,建正:0,,建正:0,,,超闰:*/0,,错月:0/0,错月:0/0,,,,,,建正:0,错月:0/0,
885,建正:0,,,,,失闰:0/*,错月:0/0,,错月:0/0,,,,,,错月:0/0,建正:-1,,错月:0/0,,错月:0/0,错月:0/0,,,,,错月:0/0,超闰:*/0,,,,错月:0/0,建正:0,建正:0,失闰:0/*,错月:0/0,,,,,,,
884,建正:0,,,建正:0,建正:0,,失闰:0/*,,错月:0/0,,,,错月:0/0,,,,,,建正:0,,错月:0/0,错月:0/0,,错月:0/0,错月:0/0,,错月:0/0,,错月:0/0,建正:0,建正:0,错月:0/0,建正:0,,错月:0/0,错月:0/0,错月:0/0,,,,,错月:0/0
883,,建正:0,超闰:*/0,错月:0/0,错月:0/0,,,,,失闰:+1/*,建正:0,建正:0,建正:0,,,,,,错月:0/0,,,错月:0/0,超闰:*/0,错月:0/0,错月:0/0,,错月:0/0,错月:0/0,错月:0/0,建正:0,,错月:0/0,,,失闰:0/*,错月:0/0,错月:0/0,,,建正:0,,错月:0/0
882,,建正:0,错月:0/0,错月:0/0,错月:0/0,错月:0/0,,错月:0/0,,,错月:0/0,建正:0,建正:0,,超闰:*/0,,错月:0/0,超闰:*/0,错月:0/0,,,错月:0/0,错月:0/0,建正:0,建正:0,,,错月:0/0,错月:0/0,错月:0/0,,,,建正:0,,建正:0,建正:0,,,建正:0,错月:0/0,错月:0/0
881,建正:0,,错月:0/0,,,错月:0/0,错月:0/0,错月:0/0,超闰:*/0,,错月:0/0,建正:0,,,建正:0,,错月:0/0,错月:0/0,,错月:0/0,超闰:*/0,,建正:0,,,错月:0/0,,超闰:*/0,,,,,,建正:0,,,,,,建正:0,错月:0/0,
880,错月:0/0,,,,,建正:0,建正:0,,错月:0/0,,,,,,建正:0,,建正:0,建正:0,,建正:0,建正:0,,,,,建正:0,,,,,建正:0,错月:0/0,错月:0/0,建正:0,错月:0/0,,,错月:0/+1,,,,
879,错月:0/0,,,,超闰:*/0,,建正:0,,建正:0,,,,,,,,,,,,建正:0,建正:0,,建正:0,,,建正:0,,建正:0,超闰:*/0,错月:0/0,建正:0,错月:0/0,,建正:0,建正:0,建正:0,,,,,建正:0
878,,建正:0,,错月:0/0,错月:0/0,,,,,建正:0,,,错月:0/0,,,,,,错月:0/0,,,建正:0,,建正:0,建正:0,,建正:0,建正:0,建正:0,错月:0/0,建正:0,建正:0,,,建正:0,建正:0,建正:0,,,超闰:*/0,,建正:0
877,,错月:0/0,建正:0,建正:0,建正:0,建正:0,,建正:0,,,建正:0,错月:0/0,错月:0/0,,,,建正:0,,建正:0,,,建正:0,建正:0,错月:0/0,建正:0,,,建正:0,建正:0,建正:0,,,,错月:0/0,,错月:0/0,错月:0/0,,,错月:0/0,建正:0,建正:0
876,错月:0/0,失闰:0/*,建正:0,失闰:0/*,,建正:0,建正:0,建正:0,,,建正:0,错月:0/0,,,错月:0/0,,建正:0,建正:0,,建正:0,建正:0,,错月:0/0,,,建正:0,,失闰:0/*,,,,,,错月:0/0,,,,,,错月:0/0,建正:0,
875,建正:0,,,,,错月:0/0,错月:0/0,建正:0,建正:0,,,,,,错月:0/0,,失闰:0/*,错月:0/0,,错月:0/0,错月:0/0,,失闰:0/*,,,错月:0/0,,,,,错月:0/0,建正:0,错月:0/0,错月:0/0,建正:0,,,建正:+1,,,失闰:0/*,
874,建正:0,,,,,,错月:0/0,,错月:0/0,,,,,,失闰:0/*,,,,,失闰:0/*,错月:0/0,建正:0,,超闰:*/0,,,错月:0/0,,,,错月:0/0,建正:0,建正:0,,错月:0/0,超闰:*/0,错月:0/0,,,,,
873,,错月:0/0,,建正:0,建正:0,,,,失闰:0/*,错月:-1/0,,,错月:0/0,,,,,,建正:0,,,错月:0/0,,错月:0/0,错月:0/0,,错月:0/0,错月:0/0,错月:0/0,建正:0,失闰:0/*,错月:0/0,,,错月:0/0,错月:0/0,错月:0/0,,,,,错月:0/0
872,,建正:0,错月:0/0,错月:0/0,错月:0/0,错月:0/0,,建正:0,,,建正:0,建正:0,建正:0,失闰:+1/*,,,错月:0/0,,错月:0/0,,,错月:0/0,错月:0/0,建正:0,错月:0/0,,失闰:0/*,错月:0/0,错月:0/0,建正:0,,,,建正:0,,错月:0/0,错月:0/0,,,建正:0,错月:0/0,错月:0/0
871,,建正:0,错月:0/0,建正:0,,错月:0/0,超闰:*/0,错月:0/0,,,错月:0/0,建正:0,,,错月:0/0,,错月:0/0,错月:0/0,失闰:0/*,错月:0/0,,,建正:0,,失闰:0/*,错月:0/0,,错月:0/0,建正:0,建正:0,,,,建正:0,,,,,,建正:0,错月:0/0,
870,建正:0,,错月:0/0,,,错月:0/0,错月:0/0,错月:0/0,错月:0/0,,失闰:0/*,建正:0,,,建正:0,,错月:0/0,错月:0/0,,建正:0,建正:0,,建正:0,,,错月:0/0,,,,,建正:0,超闰:*/0,建正:0,建正:0,错月:0/0,,,错月:-1/0,,,错月:0/0,
869,错月:0/0,,,,,,建正:0,,错月:0/0,,,,,,建正:0,失闰:+1/*,,超闰:*/0,,建正:0,建正:0,错月:0/0,,,,超闰:*/0,错月:0/0,,,,建正:0,错月:0/0,错月:0/0,,错月:0/0,,,,,,,
868,,建正:0,,错月:0/0,错月:0/0,,,,建正:0,,,,建正:0,,,,,,错月:0/0,,,建正:0,,建正:0,建正:0,,建正:0,建正:0,建正:0,错月:0/0,错月:0/0,建正:0,失闰:0/*,,建正:0,建正:0,建正:0,,,,,建正:0
867,,建正:0,错月:0/0,错月:0/0,错月:0/0,,,错月:0/0,,,错月:0/0,错月:0/0,错月:0/0,建正:+1,,,建正:0,,建正:0,,,建正:0,建正:0,建正:0,建正:0,,超闰:*/0,建正:0,建正:0,错月:0/0,,,,建正:0,,建正:0,建正:0,,建正:+1,错月:0/0,建正:0,建正:0
866,,错月:0/0,建正:0,建正:0,超闰:*/0,建正:0,,建正:0,,,建正:0,错月:0/0,错月:0/0,,建正:0,,建正:0,建正:0,建正:0,建正:0,,,建正:0,失闰:0/*,建正:0,建正:0,,建正:0,失闰:0/*,超闰:*/0,,,,错月:0/0,,,,,,错月:0/0,建正:0,
865,错月:0/0,,建正:0,,,建正:0,建正:0,建正:0,建正:0,,建正:0,错月:0/0,,,错月:0/0,,建正:0,建正:0,,建正:0,建正:0,,错月:0/0,,,建正:0,,,,,错月:0/0,,错月:0/0,错月:0/0,建正:0,,,建正:-1,,失闰:0/*,建正:0,
864,建正:0,,,,,,错月:0/0,,建正:0,,,,,,错月:0/0,建正:+1,,失闰:0/*,,错月:0/0,错月:0/0,,,,,失闰:0/*,建正:0,,,,错月:0/0,建正:0,建正:0,,建正:0,,,,,,,
863,失闰:0/*,错月:0/0,,建正:0,建正:0,,,,错月:0/0,,,,错月:0/0,,,,,,建正:0,,失闰:0/*,建正:0,,错月:0/0,错月:0/0,,错月:0/0,,建正:0,建正:0,建正:0,错月:0/0,建正:0,,错月:0/0,错月:0/0,错月:0/0,,,,,建正:0
862,,错月:0/0,建正:0,建正:0,建正:0,,,建正:0,,,建正:0,错月:0/0,错月:0/0,错月:-1/0,,,,,建正:0,,,错月:0/0,错月:0/0,错月:0/0,错月:0/0,,错月:0/0,错月:0/0,错月:0/0,建正:0,,失闰:0/*,,超闰:*/0,,错月:0/0,错月:0/0,,建正:0,错月:0/0,建正:0,错月:0/0
